namafile,kabkot,kec,desa
kota yogyakarta-danurejan-bausasran.geojson,kota yogyakarta,danurejan,bausasran
kota yogyakarta-danurejan-suryatmajan.geojson,kota yogyakarta,danurejan,suryatmajan
kota yogyakarta-danurejan-tegalpanggung.geojson,kota yogyakarta,danurejan,tegalpanggung
kota yogyakarta-gedongtengen-pringgokusuman.geojson,kota yogyakarta,gedongtengen,pringgokusuman
kota yogyakarta-gedongtengen-sosromenduran.geojson,kota yogyakarta,gedongtengen,sosromenduran
kota yogyakarta-gondokusuman-baciro.geojson,kota yogyakarta,gondokusuman,baciro
kota yogyakarta-gondokusuman-demangan.geojson,kota yogyakarta,gondokusuman,demangan
kota yogyakarta-gondokusuman-klitren.geojson,kota yogyakarta,gondokusuman,klitren
kota yogyakarta-gondokusuman-kotabaru.geojson,kota yogyakarta,gondokusuman,kotabaru
kota yogyakarta-gondokusuman-terban.geojson,kota yogyakarta,gondokusuman,terban
kota yogyakarta-gondomanan-ngupasan.geojson,kota yogyakarta,gondomanan,ngupasan
kota yogyakarta-gondomanan-prawirodirjan.geojson,kota yogyakarta,gondomanan,prawirodirjan
kota yogyakarta-jetis-bumijo.geojson,kota yogyakarta,jetis,bumijo
kota yogyakarta-jetis-cokrodiningratan.geojson,kota yogyakarta,jetis,cokrodiningratan
kota yogyakarta-jetis-gowongan.geojson,kota yogyakarta,jetis,gowongan
kota yogyakarta-kotagede-prenggan.geojson,kota yogyakarta,kotagede,prenggan
kota yogyakarta-kotagede-purbayan.geojson,kota yogyakarta,kotagede,purbayan
kota yogyakarta-kotagede-rejowinangun.geojson,kota yogyakarta,kotagede,rejowinangun
kota yogyakarta-kraton-kadipaten.geojson,kota yogyakarta,kraton,kadipaten
kota yogyakarta-kraton-panembahan.geojson,kota yogyakarta,kraton,panembahan
kota yogyakarta-kraton-patehan.geojson,kota yogyakarta,kraton,patehan
kota yogyakarta-mantrijeron-gedongkiwo.geojson,kota yogyakarta,mantrijeron,gedongkiwo
kota yogyakarta-mantrijeron-mantrijeron.geojson,kota yogyakarta,mantrijeron,mantrijeron
kota yogyakarta-mantrijeron-suryodiningratan.geojson,kota yogyakarta,mantrijeron,suryodiningratan
kota yogyakarta-mergangsan-brontokusuman.geojson,kota yogyakarta,mergangsan,brontokusuman
kota yogyakarta-mergangsan-keparakan.geojson,kota yogyakarta,mergangsan,keparakan
kota yogyakarta-mergangsan-wirogunan.geojson,kota yogyakarta,mergangsan,wirogunan
kota yogyakarta-ngampilan-ngampilan.geojson,kota yogyakarta,ngampilan,ngampilan
kota yogyakarta-ngampilan-notoprajan.geojson,kota yogyakarta,ngampilan,notoprajan
kota yogyakarta-pakualaman-gunungketur.geojson,kota yogyakarta,pakualaman,gunungketur
kota yogyakarta-pakualaman-purwokinanti.geojson,kota yogyakarta,pakualaman,purwokinanti
kota yogyakarta-tegalrejo-bener.geojson,kota yogyakarta,tegalrejo,bener
kota yogyakarta-tegalrejo-karangwaru.geojson,kota yogyakarta,tegalrejo,karangwaru
kota yogyakarta-tegalrejo-kricak.geojson,kota yogyakarta,tegalrejo,kricak
kota yogyakarta-tegalrejo-tegalrejo.geojson,kota yogyakarta,tegalrejo,tegalrejo
kota yogyakarta-umbulharjo-giwangan.geojson,kota yogyakarta,umbulharjo,giwangan
kota yogyakarta-umbulharjo-muja muju.geojson,kota yogyakarta,umbulharjo,muja muju
kota yogyakarta-umbulharjo-pandeyan.geojson,kota yogyakarta,umbulharjo,pandeyan
kota yogyakarta-umbulharjo-semaki.geojson,kota yogyakarta,umbulharjo,semaki
kota yogyakarta-umbulharjo-sorosutan.geojson,kota yogyakarta,umbulharjo,sorosutan
kota yogyakarta-umbulharjo-tahunan.geojson,kota yogyakarta,umbulharjo,tahunan
kota yogyakarta-umbulharjo-warungboto.geojson,kota yogyakarta,umbulharjo,warungboto
kota yogyakarta-wirobrajan-pakuncen.geojson,kota yogyakarta,wirobrajan,pakuncen
kota yogyakarta-wirobrajan-patangpuluhan.geojson,kota yogyakarta,wirobrajan,patangpuluhan
kota yogyakarta-wirobrajan-wirobrajan.geojson,kota yogyakarta,wirobrajan,wirobrajan
gunungkidul-gedangsari-hargomulyo.geojson,gunungkidul,gedangsari,hargomulyo
gunungkidul-gedangsari-mertelu.geojson,gunungkidul,gedangsari,mertelu
gunungkidul-gedangsari-ngalang.geojson,gunungkidul,gedangsari,ngalang
gunungkidul-gedangsari-sampang.geojson,gunungkidul,gedangsari,sampang
gunungkidul-gedangsari-serut.geojson,gunungkidul,gedangsari,serut
gunungkidul-gedangsari-tegalrejo.geojson,gunungkidul,gedangsari,tegalrejo
gunungkidul-gedangsari-watugajah.geojson,gunungkidul,gedangsari,watugajah
gunungkidul-girisubo-balong.geojson,gunungkidul,girisubo,balong
gunungkidul-girisubo-jepitu.geojson,gunungkidul,girisubo,jepitu
gunungkidul-girisubo-jerukwudel.geojson,gunungkidul,girisubo,jerukwudel
gunungkidul-girisubo-karangawen.geojson,gunungkidul,girisubo,karangawen
gunungkidul-girisubo-nglindur.geojson,gunungkidul,girisubo,nglindur
