Kode Wilayah,Kabupaten,IDE Kapanewan,KAPANEWON,ID Kelurahan,KALURAHAN/KELURAHAN,RT,RW,Luas Wilayah,Jumlah Penduduk
34.01.01.2001,KULON PROGO,1,TEMON,1,JANGKARAN,27,10,3.66,1971
34.01.01.2002,KULON PROGO,1,TEMON,2,SINDUTAN,28,14,2.98,2242
34.01.01.2003,KULON PROGO,1,TEMON,3,PALIHAN,35,15,3.59,2295
34.01.01.2004,KULON PROGO,1,TEMON,4,GLAGAH,36,16,6.04,2965
34.01.01.2005,KULON PROGO,1,TEMON,5,KALIDENGEN,14,7,1.51,1392
34.01.01.2006,KULON PROGO,1,TEMON,6,PLUMBON,26,12,3.04,2421
34.01.01.2007,KULON PROGO,1,TEMON,7,KEDUNDANG,28,12,1.39,2497
34.01.01.2008,KULON PROGO,1,TEMON,8,DEMEN,21,7,0.97,1460
34.01.01.2009,KULON PROGO,1,TEMON,9,KULUR,45,14,2.8,2881
34.01.01.2010,KULON PROGO,1,TEMON,10,KALIGINTUNG,27,9,2.19,1808
34.01.01.2011,KULON PROGO,1,TEMON,11,TEMON WETAN,27,13,2.22,1562
34.01.01.2012,KULON PROGO,1,TEMON,12,TEMON KULON,32,11,1.56,1776
34.01.01.2013,KULON PROGO,1,TEMON,13,KEBONREJO,20,9,1.72,1488
34.01.01.2014,KULON PROGO,1,TEMON,14,JANTEN,19,9,1.33,1287
34.01.01.2015,KULON PROGO,1,TEMON,15,KARANGWULUH,16,8,1.29,1071
34.01.02.2001,KULON PROGO,2,WATES,1,KARANGWUNI,24,12,7.22,3525
34.01.02.2002,KULON PROGO,2,WATES,2,SOGAN,15,6,2.5,2058
34.01.02.2003,KULON PROGO,2,WATES,3,KULWARU,16,7,2.52,2927
34.01.02.2004,KULON PROGO,2,WATES,4,NGESTIHARJO,27,11,2.56,3479
34.01.02.2005,KULON PROGO,2,WATES,5,BENDUNGAN,48,21,4.82,7086
34.01.02.2006,KULON PROGO,2,WATES,6,BENDUNGAN,25,10,3.41,7449
34.01.02.2007,KULON PROGO,2,WATES,7,GIRIPENI,50,22,4.69,8255
34.01.02.1008,KULON PROGO,2,WATES,8,KELURAHAN WATES*,86,16,4.28,1417
34.01.03.2001,KULON PROGO,3,PANJATAN,1,GARONGAN,36,18,6.24,3711
34.01.03.2002,KULON PROGO,3,PANJATAN,2,PLERET,44,22,6.46,4968
34.01.03.2003,KULON PROGO,3,PANJATAN,3,BUGEL,41,20,6.42,4463
34.01.03.2004,KULON PROGO,3,PANJATAN,4,KANOMAN,25,12,2.36,2099000
34.01.03.2005,KULON PROGO,3,PANJATAN,5,DEPOK,44,22,2.83,3054
34.01.03.2006,KULON PROGO,3,PANJATAN,6,BOJONG,44,22,3.7,4378
34.01.03.2007,KULON PROGO,3,PANJATAN,7,TAYUBAN,28,14,2.2,2305
34.01.03.2008,KULON PROGO,3,PANJATAN,8,GOTAKAN,32,16,3.55,3084
34.01.03.2009,KULON PROGO,3,PANJATAN,9,PANJATAN,20,10,1.12,1512
34.01.03.2010,KULON PROGO,3,PANJATAN,10,CERME,40,20,3.79,3750
34.01.03.2011,KULON PROGO,3,PANJATAN,11,KREMBANGAN,48,24,5.91,5421
34.01.04.2001,KULON PROGO,4,GALUR,1,BANARAN,53,26,9.07,5539
34.01.04.2002,KULON PROGO,4,GALUR,2,KRANGGAN,37,18,2.39,2573
34.01.04.2003,KULON PROGO,4,GALUR,3,NOMPOREJO,30,16,1.91,2179
34.01.04.2004,KULON PROGO,4,GALUR,4,KARANGSEWU,72,34,9.26,8340
34.01.04.2005,KULON PROGO,4,GALUR,5,TIRTORAHAYU,57,28,5.65,7164
34.01.04.2006,KULON PROGO,4,GALUR,6,PANDOWAN,18,8,1.4,2068
34.01.04.2007,KULON PROGO,4,GALUR,7,BROSOT,44,20,3.23,4879
34.01.05.2001,KULON PROGO,5,LENDAH,1,WAHYUHARJO,20,10,1.67,1962
34.01.05.2002,KULON PROGO,5,LENDAH,2,BUMIREJO,72,33,8.25,9214
34.01.05.2003,KULON PROGO,5,LENDAH,3,JATIREJO,54,20,6.36,6975
34.01.05.2004,KULON PROGO,5,LENDAH,4,SIDOREJO,80,,8.44,8056
34.01.05.2005,KULON PROGO,5,LENDAH,5,GULUREJO,65,28,5.46,7495
34.01.05.2006,KULON PROGO,5,LENDAH,6,NGENTAKREJO,53,16,5.41,7381
34.01.06.2001,KULON PROGO,6,SENTOLO,1,DEMANGREJO,23,11,3.36,3357
34.01.06.2002,KULON PROGO,6,SENTOLO,2,SRIKAYANGAN,60,30,7.2,5266
34.01.06.2003,KULON PROGO,6,SENTOLO,3,TUKSONO,48,24,10.31,8555
34.01.06.2004,KULON PROGO,6,SENTOLO,4,SALAMREJO,37,18,4.2,5712
34.01.06.2005,KULON PROGO,6,SENTOLO,5,SUKORENO,52,26,10.03,8438
34.01.06.2006,KULON PROGO,6,SENTOLO,6,KALIAGUNG,48,24,7.17,6243
