Kode Wilayah,Kabupaten,IDE Kapanewan,KAPANEWON,ID Kelurahan,KALURAHAN/KELURAHAN,ID Pedukuhan,PADUKUHAN,RT,RW,Luas Wilayah,Jumlah Penduduk
34.01.01.2001,KULON PROGO,1,TEMON,1,JANGKARAN,1,Ngentak,,,,
34.01.01.2001,KULON PROGO,1,TEMON,1,JANGKARAN,2,Kledekan Lor,,,,
34.01.01.2001,KULON PROGO,1,TEMON,1,JANGKARAN,3,Kledekan Kidul,,,,
34.01.01.2001,KULON PROGO,1,TEMON,1,JANGKARAN,4,Pasir Kadilangu,,,,
34.01.01.2001,KULON PROGO,1,TEMON,1,JANGKARAN,5,Jangkaran,,,,
34.01.01.2001,KULON PROGO,1,TEMON,1,JANGKARAN,6,Pasir Mendit,,,,
34.01.01.2001,KULON PROGO,1,TEMON,1,JANGKARAN,7,Ngelak,,,,
34.01.01.2001,KULON PROGO,1,TEMON,1,JANGKARAN,8,Nglawang,,,,
34.01.01.2002,KULON PROGO,1,TEMON,2,SINDUTAN,1,Bayeman,,,,
34.01.01.2002,KULON PROGO,1,TEMON,2,SINDUTAN,2,Glaheng,,,,
34.01.01.2002,KULON PROGO,1,TEMON,2,SINDUTAN,3,Dukuh,,,,
34.01.01.2002,KULON PROGO,1,TEMON,2,SINDUTAN,4,Sindutan A,,,,
34.01.01.2002,KULON PROGO,1,TEMON,2,SINDUTAN,5,Sindutan B,,,,
34.01.01.2002,KULON PROGO,1,TEMON,2,SINDUTAN,6,Panginan,,,,
34.01.01.2002,KULON PROGO,1,TEMON,2,SINDUTAN,7,Plempukan,,,,
34.01.01.2003,KULON PROGO,1,TEMON,3,PALIHAN,1,Ngringgit,,,,
34.01.01.2003,KULON PROGO,1,TEMON,3,PALIHAN,2,Palihan I,,,,
34.01.01.2003,KULON PROGO,1,TEMON,3,PALIHAN,3,Palihan II,,,,
34.01.01.2003,KULON PROGO,1,TEMON,3,PALIHAN,4,Kragon I,,,,
34.01.01.2003,KULON PROGO,1,TEMON,3,PALIHAN,5,Kragon II,,,,
34.01.01.2003,KULON PROGO,1,TEMON,3,PALIHAN,6,Mlangsen,,,,
34.01.01.2003,KULON PROGO,1,TEMON,3,PALIHAN,7,Tanggalan,,,,
34.01.01.2003,KULON PROGO,1,TEMON,3,PALIHAN,8,Selong,,,,
34.01.01.2003,KULON PROGO,1,TEMON,3,PALIHAN,9,Munggangan,,,,
34.01.01.2004,KULON PROGO,1,TEMON,4,GLAGAH,1,Kepek,,,,
34.01.01.2004,KULON PROGO,1,TEMON,4,GLAGAH,2,Bapangan,,,,
34.01.01.2004,KULON PROGO,1,TEMON,4,GLAGAH,3,Sidorejo,,,,
34.01.01.2004,KULON PROGO,1,TEMON,4,GLAGAH,4,Kretek,,,,
34.01.01.2004,KULON PROGO,1,TEMON,4,GLAGAH,5,Macanan,,,,
34.01.01.2004,KULON PROGO,1,TEMON,4,GLAGAH,6,Bebekan,,,,
34.01.01.2004,KULON PROGO,1,TEMON,4,GLAGAH,7,Logede,,,,
34.01.01.2004,KULON PROGO,1,TEMON,4,GLAGAH,8,Sangkretan,,,,
34.01.01.2004,KULON PROGO,1,TEMON,4,GLAGAH,9,Glagah,,,,
34.01.01.2005,KULON PROGO,1,TEMON,5,KALIDENGEN,1,Kalidengen I,,,,
34.01.01.2005,KULON PROGO,1,TEMON,5,KALIDENGEN,2,Kalidengen II,,,,
34.01.01.2005,KULON PROGO,1,TEMON,5,KALIDENGEN,3,Sidatan,,,,
34.01.01.2006,KULON PROGO,1,TEMON,6,PLUMBON,1,Sringkel,,,,
34.01.01.2006,KULON PROGO,1,TEMON,6,PLUMBON,2,Gebang I,,,,
34.01.01.2006,KULON PROGO,1,TEMON,6,PLUMBON,3,Gebang II,,,,
34.01.01.2006,KULON PROGO,1,TEMON,6,PLUMBON,4,Ngentak,,,,
34.01.01.2006,KULON PROGO,1,TEMON,6,PLUMBON,5,Salam I,,,,
34.01.01.2006,KULON PROGO,1,TEMON,6,PLUMBON,6,Salam II,,,,
34.01.01.2006,KULON PROGO,1,TEMON,6,PLUMBON,7,Salam III,,,,
34.01.01.2006,KULON PROGO,1,TEMON,6,PLUMBON,8,Dabag I,,,,
34.01.01.2006,KULON PROGO,1,TEMON,6,PLUMBON,9,Dabag II,,,,
34.01.01.2006,KULON PROGO,1,TEMON,6,PLUMBON,10,Plumbon,,,,
34.01.01.2007,KULON PROGO,1,TEMON,7,KEDUNDANG,1,Kedundang I,,,,
34.01.01.2007,KULON PROGO,1,TEMON,7,KEDUNDANG,2,Kedundang II,,,,
34.01.01.2007,KULON PROGO,1,TEMON,7,KEDUNDANG,3,Kedundang III,,,,
34.01.01.2007,KULON PROGO,1,TEMON,7,KEDUNDANG,4,Pencengan,,,,
34.01.01.2007,KULON PROGO,1,TEMON,7,KEDUNDANG,5,Nagung,,,,
34.01.01.2007,KULON PROGO,1,TEMON,7,KEDUNDANG,6,Pandowan,,,,
34.01.01.2008,KULON PROGO,1,TEMON,8,DEMEN,1,Batikan I,,,,
34.01.01.2008,KULON PROGO,1,TEMON,8,DEMEN,2,Batikan II,,,,
34.01.01.2008,KULON PROGO,1,TEMON,8,DEMEN,3,Demen I,,,,
34.01.01.2008,KULON PROGO,1,TEMON,8,DEMEN,4,Demen II,,,,
34.01.01.2008,KULON PROGO,1,TEMON,8,DEMEN,5,Dukuh I,,,,
34.01.01.2008,KULON PROGO,1,TEMON,8,DEMEN,6,Dukuh II,,,,
34.01.01.2008,KULON PROGO,1,TEMON,8,DEMEN,7,Kendeng,,,,
34.01.01.2009,KULON PROGO,1,TEMON,9,KULUR,1,Kaligayam,,,,
34.01.01.2009,KULON PROGO,1,TEMON,9,KULUR,2,Polodadi,,,,
34.01.01.2009,KULON PROGO,1,TEMON,9,KULUR,3,Tigaron,,,,
34.01.01.2009,KULON PROGO,1,TEMON,9,KULUR,4,Trukan,,,,
34.01.01.2009,KULON PROGO,1,TEMON,9,KULUR,5,Setro,,,,
34.01.01.2009,KULON PROGO,1,TEMON,9,KULUR,6,Kebondalem,,,,
34.01.01.2009,KULON PROGO,1,TEMON,9,KULUR,7,Bojong,,,,
34.01.01.2010,KULON PROGO,1,TEMON,10,KALIGINTUNG,1,Balong,,,,
34.01.01.2010,KULON PROGO,1,TEMON,10,KALIGINTUNG,2,Girigondo,,,,
34.01.01.2010,KULON PROGO,1,TEMON,10,KALIGINTUNG,3,Siwates,,,,
34.01.01.2010,KULON PROGO,1,TEMON,10,KALIGINTUNG,4,Kaligintung Lor,,,,
34.01.01.2010,KULON PROGO,1,TEMON,10,KALIGINTUNG,5,Kaligintung Kidul,,,,
34.01.01.2011,KULON PROGO,1,TEMON,11,TEMON WETAN,1,Kaligondang,,,,
34.01.01.2011,KULON PROGO,1,TEMON,11,TEMON WETAN,2,Gandri,,,,
34.01.01.2011,KULON PROGO,1,TEMON,11,TEMON WETAN,3,Jogahan,,,,
34.01.01.2011,KULON PROGO,1,TEMON,11,TEMON WETAN,4,Jatikontal,,,,
34.01.01.2011,KULON PROGO,1,TEMON,11,TEMON WETAN,5,Kaliawen,,,,
34.01.01.2011,KULON PROGO,1,TEMON,11,TEMON WETAN,6,Temon,,,,
34.01.01.2011,KULON PROGO,1,TEMON,11,TEMON WETAN,7,Kaliwangan,,,,
34.01.01.2012,KULON PROGO,1,TEMON,12,TEMON KULON,1,Kaligondang,,,,
34.01.01.2012,KULON PROGO,1,TEMON,12,TEMON KULON,2,Kedung Banteng,,,,
34.01.01.2012,KULON PROGO,1,TEMON,12,TEMON KULON,3,Kaliwangan Lor,,,,
34.01.01.2012,KULON PROGO,1,TEMON,12,TEMON KULON,4,Kaliwangan Kidul,,,,
34.01.01.2012,KULON PROGO,1,TEMON,12,TEMON KULON,5,Seling,,,,
34.01.01.2013,KULON PROGO,1,TEMON,13,KEBONREJO,1,Dumpoh,,,,
34.01.01.2013,KULON PROGO,1,TEMON,13,KEBONREJO,2,Kibon,,,,
34.01.01.2013,KULON PROGO,1,TEMON,13,KEBONREJO,3,Weton,,,,
34.01.01.2013,KULON PROGO,1,TEMON,13,KEBONREJO,4,Seling,,,,
